Country,Last,Previous,Reference,Unit
Afghanistan,-4458,-5761,Dec/21,USD Million
Algeria,90,50,Sep/21,USD Million
Argentina,1827,414,Oct/22,USD Million
Aruba,-624,-552,Sep/22,AWG Million
Austria,-2325,-1087,Aug/22,EUR Million
Bahamas,-740,-606,Jun/22,BSD Million
Bangladesh,-224,-265,Sep/22,BDT Billion
Belarus,-354,334,Feb/22,USD Million
Belize,-129592,-150458,Sep/22,BZD Thousands
Bermuda,-261,-212,Jun/22,BMD Million
Bolivia,-189,38.41,Aug/22,USD Million
Botswana,3832,1823,Aug/22,BWP Million
Brunei,603,772,Aug/22,BND Million
Burkina Faso,-62.1,38.8,Jun/22,XOF Billion
Cambodia,-3869,-3700,Aug/22,KHR Billion
Canada,1138,550,Sep/22,CAD Million
Cayman Islands,-1268,-1097,Dec/21,KYD Million
Chile,457,-513,Oct/22,USD Million
Colombia,-1.92,-2.8,Sep/22,USD Billion
Congo,1923,241,Dec/20,USD Million
Croatia,-10200,-14966,Sep/22,HRK Million
Cyprus,-565958,-702521,Sep/22,EUR Thousand
Denmark,32096,33430,Sep/22,DKK Million
Dominican Republic,-1729,-1405,Jun/22,USD Million
Ecuador,-385669,-239496,Sep/22,USD Thousand
El Salvador,-792,-850,Oct/22,USD Million
Estonia,-155,-272,Sep/22,EUR Million
Euro Area,-34374,-52433,Sep/22,EUR Million
Faroe Islands,223071,-197284,Sep/22,DKK Thousand
Finland,-330,-1290,Sep/22,EUR Million
Gabon,987,1833,Dec/20,XAF Billion
Georgia,-674,-568,Oct/22,USD Million
Ghana,131,80.9,Jun/22,USD Million
Guatemala,-1473,-1650,Sep/22,USD Million
Guinea Bissau,-77.8,-48.8,Dec/21,XOF Million
Haiti,-98.93,154,Jul/22,USD Million
Hong Kong,-20869,-44920,Oct/22,HKD Million
Iceland,-52657,-43768,Oct/22,ISK Million
Indonesia,5674,4969,Oct/22,USD Million
Iraq,18830,14433,Jun/22,USD Million
Israel,-3549,-2401,Oct/22,USD Million
Ivory Coast,-246,51.5,Aug/22,XOF Million
Japan,-2162,-2094,Oct/22,JPY Billion
Kazakhstan,2879,2802,Sep/22,USD Million
Kosovo,-402372,-401109,Oct/22,EUR Thousand
Kyrgyzstan,-842,-904,Sep/22,USD Million
Latvia,-333,-566,Sep/22,EUR Million
Lesotho,-3275,-2983,Jun/22,LSL Million
Libya,3169,15849,Dec/20,LYD Million
Lithuania,-830,-668,Sep/22,EUR Million
Macau,-11584947,-11745617,Oct/22,Thousand MOP
Madagascar,-396070,-663290,Jun/22,million MGA
Malaysia,18088,31700,Oct/22,MYR Million
Mali,-148,-162,Jun/22,XOF Billion
Mauritania,-10.01,-7.67,Jun/22,MRU Billion
Mexico,-2012,-895,Oct/22,USD Million
Monaco,-425,-202,Jun/22,EUR Million
Montenegro,-248868,-297489,Oct/22,EUR Thousand
Mozambique,-146,-4432,Jun/22,USD Million
Namibia,-9838,-10047,Jun/22,NAD Million
Netherlands,8428,4383,Sep/22,EUR Million
New Zealand,-2129,-1696,Oct/22,NZD Million
Niger,-376284,-422670,Jun/22,XOF Million
North Korea,-126,-381,Dec/21,USD Million
Oman,774,1162,Aug/22,OMR Million
Palestine,-584,-575,Sep/22,USD Million
Papua New Guinea,10071,7838,Jun/22,PGK Million
Peru,689,318,Sep/22,USD Million
Poland,-2054,-2642,Sep/22,EUR Million
Puerto Rico,1031,1333,Aug/22,USD Million
Romania,-3036,-3230,Sep/22,EUR Million
Rwanda,-362,-305,Sep/22,USD Million
Saudi Arabia,64613,70262,Sep/22,Million SAR
Serbia,-929,-678,Oct/22,USD Million
Sierra Leone,-78.75,-125,Jun/22,USD Million
Slovakia,-473,-118,Sep/22,EUR Million
Somalia,-3148,-2792,Dec/21,USD Million
South Korea,-7010,-6700,Nov/22,USD Million
Sri Lanka,-206,-262,Sep/22,USD Million
Suriname,452,184,Sep/22,USD Million
Sweden,-9500,-1400,Oct/22,SEK Million
Syria,-46.25,-76.71,Dec/20,USD Million
Tajikistan,-336,-43.3,Jul/22,USD Million
Thailand,-596,-850,Oct/22,USD Million
Tunisia,-2082,-2341,Oct/22,TND Million
Turkmenistan,5197,3302,Dec/21,USD Million
Ukraine,-1166,-1720,Aug/22,USD Million
United Kingdom,-3135,-4676,Sep/22,GBP Million
Uruguay,-313690,-21179,Oct/22,USD Thousand
Venezuela,5680,4887,Mar/19,USD Million
Yemen,-5182906788,-4654171185,Dec/21,USD Million
Zimbabwe,-180,-212,Jul/22,USD Million
