Country,Last,Previous,Reference,Unit
Libya,21.6,-20.7,Dec/21,%
Singapore,18.1,16.8,Dec/21,%
Republic of the Congo,15.5,-0.2,Dec/21,%
Norway,15,1.1,Dec/21,%
Ireland,13.9,-2.7,Dec/21,%
Eritrea,13.5,11.4,Dec/21,%
United Arab Emirates,11.7,5.9,Dec/21,%
Zambia,11.1,12.2,Dec/21,%
Switzerland,9.3,2.8,Dec/21,%
Denmark,8.8,8,Dec/21,%
Swaziland,7.4,7,Dec/21,%
Bahrain,6.7,-9.3,Dec/21,%
Iraq,5.9,-10.8,Dec/21,%
Burkina Faso,5.2,3.8,Dec/21,%
South Korea,4.9,4.6,Dec/21,%
Israel,4.7,5.5,Dec/21,%
Japan,4,2.9,Dec/21,%
Malaysia,3.5,4.2,Dec/21,%
Australia,3.2,1.3,Jun/22,%
Paraguay,3,2.2,Dec/21,%
Euro Area,2.5,1.9,Dec/21,%
Guatemala,2.5,4.9,Dec/21,%
Laos,2.35,-1.21,Dec/21,%
Iran,2,-0.1,Dec/21,%
Lithuania,1.4,7.3,Dec/21,%
Cuba,0.9,1.9,Dec/20,%
Spain,0.9,0.8,Dec/21,%
Turkmenistan,0.6,0.5,Dec/21,%
Haiti,0.5,1.1,Dec/21,%
Gabon,0.3,-6.1,Dec/21,%
Canada,0.1,-1.9,Dec/21,%
Belgium,-0.4,0.8,Dec/21,%
Mexico,-0.4,2.4,Dec/21,%
Botswana,-0.5,-10.8,Dec/21,%
Djibouti,-0.7,11.3,Dec/21,%
Czech Republic,-0.8,2,Dec/21,%
Myanmar,-1.1,-2.5,Dec/21,%
Ukraine,-1.3,3.4,Dec/21,%
Estonia,-1.6,-0.3,Dec/21,%
Turkey,-1.7,-5,Dec/21,%
Philippines,-1.8,3.2,Dec/21,%
Zimbabwe,-1.89,-1.91,Dec/21,%
United Kingdom,-2,-3.2,Dec/21,%
Bosnia and Herzegovina,-2.1,-3.8,Dec/21,%
Venezuela,-2.1,-8,Dec/21,%
Thailand,-2.2,4.2,Dec/21,%
Armenia,-2.5,-4,Dec/21,%
Iceland,-2.7,0.8,Dec/21,%
Lesotho,-2.8,-2.1,Dec/21,%
Dominican Republic,-2.9,-2,Mar/22,%
Latvia,-2.9,2.9,Dec/21,%
Peru,-2.9,0.7,Dec/21,%
Ethiopia,-3.2,-4.6,Dec/21,%
Equatorial Guinea,-3.4,-4.2,Dec/21,%
United States,-3.6,-2.9,Dec/21,%
Chad,-3.9,-8.1,Dec/21,%
Sri Lanka,-4,-1.5,Dec/21,%
Honduras,-4.3,2.8,Dec/21,%
Benin,-4.5,-1.7,Dec/21,%
Egypt,-4.6,-3.1,Dec/21,%
Malta,-4.9,-2.9,Dec/21,%
El Salvador,-5.1,0.8,Dec/21,%
Madagascar,-5.5,-3.5,Dec/21,%
Greece,-5.9,-6.6,Dec/21,%
New Zealand,-6.5,-2.7,Dec/21,%
Guinea Bissau,-6.9,-3.7,Dec/21,%
Uzbekistan,-7,-5.4,Dec/21,%
Mauritania,-7.6,-7.6,Dec/21,%
Nepal,-7.8,-0.9,Dec/21,%
Barbados,-8.5,-7.3,Dec/21,%
Kosovo,-8.6,-7,Dec/21,%
Maldives,-9,-29.2,Dec/21,%
Belize,-9.2,-8.1,Dec/21,%
Montenegro,-9.3,-26.1,Dec/21,%
Georgia,-9.8,-12.4,Dec/21,%
Senegal,-10.4,-10.9,Dec/21,%
Rwanda,-10.9,-12.1,Dec/21,%
Lebanon,-11.4,-22.2,Dec/20,%
Oman,-12,-4.9,Dec/20,%
Mongolia,-12.8,-5.1,Dec/21,%
Malawi,-13.1,-12.1,Dec/21,%
Mauritius,-13.6,-9.2,Dec/21,%
Sierra Leone,-13.9,-16.7,Dec/21,%
Burundi,-15,-9.4,Dec/21,%
Afghanistan,-17,-21.2,Dec/20,%
Seychelles,-20,-22,Dec/21,%
Mozambique,-23.8,-30.4,Dec/21,%
Cambodia,-48,-8.5,Dec/21,%
