Country,Last,Previous,Reference,Unit
Uganda,13.7,3,Jun/22,%
Belize,6.5,-0.8,Jun/22,%
Bahrain,5.03,0.48,Jun/22,%
China,3.9,-2.7,Sep/22,%
Peru,3.5,0.9,Jun/22,%
United States,2.9,-0.6,Sep/22,%
Saudi Arabia,2.6,2.2,Sep/22,%
Malaysia,1.9,3.5,Sep/22,%
Indonesia,1.81,3.72,Sep/22,%
Bosnia and Herzegovina,1.6,1.5,Jun/22,%
Senegal,1.6,-2.2,Jun/22,%
Dominican Republic,1.51,-5.17,Jun/22,%
Malta,1.32,0.84,Sep/22,%
Cyprus,1.3,0.3,Sep/22,%
Romania,1.3,1.3,Sep/22,%
Thailand,1.2,0.7,Sep/22,%
Singapore,1.1,-0.1,Sep/22,%
Poland,1,-2.3,Sep/22,%
Mexico,0.9,1.1,Sep/22,%
Canada,0.7,0.8,Sep/22,%
Sweden,0.6,0.7,Sep/22,%
Denmark,0.5,0.8,Sep/22,%
Israel,0.5,1.8,Sep/22,%
Lithuania,0.5,0.3,Sep/22,%
Germany,0.4,0.1,Sep/22,%
Slovakia,0.4,0.4,Sep/22,%
South Korea,0.3,0.7,Sep/22,%
Austria,0.2,1.9,Sep/22,%
Euro Area,0.2,0.8,Sep/22,%
France,0.2,0.5,Sep/22,%
Switzerland,0.2,0.1,Sep/22,%
Turkey,-0.1,1.9,Sep/22,%
Czech Republic,-0.2,0.5,Sep/22,%
United Kingdom,-0.2,0.2,Sep/22,%
Japan,-0.3,1.1,Sep/22,%
Croatia,-0.4,1.5,Sep/22,%
Iceland,-0.5,3.7,Sep/22,%
Serbia,-0.7,1.2,Sep/22,%
Chile,-1.2,0.1,Sep/22,%
Slovenia,-1.4,0.2,Sep/22,%
Latvia,-1.7,0,Sep/22,%
Paraguay,-1.82,9.04,Mar/22,%
Hong Kong,-2.6,1,Sep/22,%
Ukraine,-19.2,-19.3,Jun/22,%
