Country,Last,Previous,Reference,Unit
Afghanistan,7.4,6.1,Dec/20,%
Algeria,62.5,51.3,Dec/21,%
Argentina,80.5,102,Dec/21,%
Australia,36.1,24.8,Dec/21,%
Azerbaijan,18.2,20.1,Dec/21,%
Bahrain,128,130,Dec/21,%
Belarus,33.5,37.3,Dec/21,%
Belize,74.5,91.6,Dec/21,%
Bhutan,135,131,Dec/21,%
Bosnia and Herzegovina,24.8,25.5,Dec/21,%
Brazil,80.27,88.59,Dec/21,%
Bulgaria,22.5,22.2,Oct/22,%
Burundi,17,15.6,Dec/21,%
Cameroon,46,45.8,Dec/21,%
Cape Verde,157,156,Dec/21,%
Central African Republic,47.6,43.4,Dec/21,%
Chile,36.3,32.5,Dec/21,%
Colombia,64.5,65.8,Dec/21,%
Congo,12.7,15.6,Dec/21,%
Croatia,79.8,87.3,Dec/21,%
Cyprus,104,115,Dec/21,%
Denmark,36.7,42.1,Dec/21,%
Dominican Republic,50.4,56.6,Dec/21,%
Egypt,87.2,92,Jun/22,%
Equatorial Guinea,39.9,48.8,Dec/21,%
Estonia,18.1,19,Dec/21,%
Euro Area,95.6,97.2,Dec/21,%
Fiji,79.8,62,Dec/21,%
France,113,115,Dec/21,%
Gambia,82.9,85,Dec/21,%
Germany,69.3,68.7,Dec/21,%
Greece,193,206,Dec/21,%
Guinea,43.3,43.4,Dec/21,%
Guyana,43.7,37,Dec/21,%
Honduras,51.46,54.95,Dec/21,%
Iceland,75,77.4,Dec/21,%
Indonesia,41.2,39.8,Dec/21,%
Iraq,59.3,84.2,Dec/21,%
Israel,68.8,71.7,Dec/21,%
Ivory Coast,51.4,47.7,Dec/21,%
Japan,262,259,Dec/21,%
Kazakhstan,27.4,23.4,Dec/21,%
Kosovo,23.34,22.44,Dec/21,%
Kyrgyzstan,60.3,68.1,Dec/21,%
Latvia,44.8,43.3,Dec/21,%
Lesotho,54.7,54.2,Dec/21,%
Libya,155,110,Dec/20,%
Luxembourg,24.5,24.5,Dec/21,%
Madagascar,44.8,38.7,Dec/20,%
Malaysia,63.3,62.1,Dec/21,%
Malta,57,53.4,Dec/21,%
Mauritius,89,73.4,Dec/21,%
Moldova,32.1,34,Dec/21,%
Montenegro,103,74.91,Dec/20,%
Mozambique,130,122,Dec/21,%
Namibia,76,69.6,Dec/21,%
Netherlands,52.4,54.7,Dec/21,%
Nicaragua,64.8,56.8,Dec/20,%
Nigeria,37,34.5,Dec/21,%
Oman,67.7,50.3,Dec/20,%
Palestine,21.3,23.5,Dec/21,%
Papua New Guinea,51.5,48.9,Dec/21,%
Peru,36,35.4,Dec/21,%
Poland,53.8,57.1,Dec/21,%
Qatar,58.5,72.5,Dec/21,%
Romania,48.8,47.2,Dec/21,%
Rwanda,66.7,65.4,Dec/21,%
Saudi Arabia,30,32.5,Dec/21,%
Serbia,56.5,57,Dec/21,%
Sierra Leone,75,71.9,Dec/21,%
Slovakia,63.1,59.7,Dec/21,%
South Africa,69.9,70.7,Dec/21,%
Spain,118,120,Dec/21,%
Sudan,182,264,Dec/21,%
Swaziland,36.8,15.49,Dec/21,%
Switzerland,41.4,42.6,Dec/21,%
Tajikistan,53.67,47.77,Dec/21,%
Thailand,59.61,50.5,Dec/21,%
Trinidad and Tobago,83.3,79.6,Dec/21,%
Turkey,42,39.7,Dec/21,%
Uganda,51.7,49.8,Dec/21,%
United Arab Emirates,38.3,36.9,Dec/21,%
United States,137,128,Dec/21,%
Uzbekistan,38,40.4,Dec/21,%
Vietnam,39.6,41.8,Dec/21,%
Zambia,123,96,Dec/21,%
