Country,Last,Previous,Reference,Unit
South Sudan,-2.5,6.43,Aug/22,%
Panama,1.67,1.93,Oct/22,%
Benin,2.1,-1.6,Oct/22,%
Oman,2.39,2.36,Oct/22,%
Vanuatu,2.7,0.7,Mar/22,%
Bolivia,2.89,1.89,Oct/22,%
Seychelles,2.92,2.96,Oct/22,%
Liechtenstein,3,3.3,Oct/22,%
Switzerland,3,3,Nov/22,%
Kuwait,3.27,3.19,Oct/22,%
Bahrain,3.8,4,Oct/22,%
Ecuador,4.02,4.12,Oct/22,%
Brunei,4.3,4.5,Sep/22,%
Palestine,4.39,4.04,Oct/22,%
Eritrea,4.5,4.8,Dec/21,%
Tanzania,4.9,4.8,Oct/22,%
South Korea,5,5.7,Nov/22,%
Jordan,5.2,5.4,Oct/22,%
Iraq,5.3,4.4,Sep/22,%
Indonesia,5.42,5.71,Nov/22,%
Swaziland,5.5,6.7,Oct/22,%
Thailand,5.98,6.41,Oct/22,%
Bhutan,6.05,5.6,Sep/22,%
France,6.2,6.2,Nov/22,%
Bahamas,6.3,7.1,Aug/22,%
Brazil,6.47,7.17,Oct/22,%
Guyana,6.49,6.49,Oct/22,%
Puerto Rico,6.6,6.1,Oct/22,%
Singapore,6.7,7.5,Oct/22,%
United Arab Emirates,6.77,3.43,Jun/22,%
Canada,6.9,6.9,Oct/22,%
Somalia,6.9,7.2,Oct/22,%
Guinea Bissau,7.1,8.4,Oct/22,%
Chad,7.2,7.7,Sep/22,%
Togo,7.2,7.9,Oct/22,%
East Timor,7.3,7.9,Oct/22,%
El Salvador,7.47,7.49,Oct/22,%
South Africa,7.6,7.5,Oct/22,%
Philippines,7.7,6.9,Oct/22,%
Morocco,8.1,8.3,Oct/22,%
Dominican Republic,8.24,8.63,Oct/22,%
Finland,8.3,8.1,Oct/22,%
Mexico,8.41,8.7,Oct/22,%
Uruguay,8.46,9.05,Nov/22,%
Nepal,8.5,8.64,Oct/22,%
Cyprus,8.7,8.8,Nov/22,%
Faroe Islands,8.8,7.3,Sep/22,%
Costa Rica,8.99,10.4,Oct/22,%
Ireland,9.2,8.2,Oct/22,%
Kenya,9.5,9.6,Nov/22,%
Guatemala,9.7,9.03,Oct/22,%
Zambia,9.8,9.7,Nov/22,%
Portugal,9.9,10.1,Nov/22,%
Germany,10,10.4,Nov/22,%
Denmark,10.1,10,Oct/22,%
Madagascar,10.42,9.71,Oct/22,%
Austria,10.6,11,Nov/22,%
Belgium,10.63,12.27,Nov/22,%
United Kingdom,11.1,10.1,Oct/22,%
European Union,11.5,10.9,Oct/22,%
Mozambique,11.83,12.01,Oct/22,%
Cayman Islands,12.1,11.2,Jun/22,%
Congo,12.19,11.38,Oct/22,%
Guinea,12.4,12.5,Jul/22,%
Russia,12.6,13.7,Oct/22,%
Mauritania,12.7,11.3,Oct/22,%
Senegal,13,11.9,Oct/22,%
Croatia,13.2,12.8,Oct/22,%
Afghanistan,13.6,16.7,Sep/22,%
Netherlands,14.3,14.5,Oct/22,%
Slovakia,14.9,14.2,Oct/22,%
Serbia,15,14,Oct/22,%
Belarus,15.2,17.4,Oct/22,%
Kyrgyzstan,15.4,15.5,Oct/22,%
Egypt,16.2,15,Oct/22,%
Montenegro,16.8,16,Oct/22,%
Poland,17.4,17.9,Nov/22,%
Bulgaria,17.6,18.7,Oct/22,%
Kazakhstan,19.6,18.8,Nov/22,%
Nigeria,21.09,20.77,Oct/22,%
Latvia,21.8,22.2,Oct/22,%
Burundi,22.09,20.92,Oct/22,%
Lithuania,23.6,24.1,Oct/22,%
Ukraine,26.6,24.6,Oct/22,%
Sierra Leone,29.1,28.2,Sep/22,%
Rwanda,31,23.9,Oct/22,%
Moldova,34.62,33.97,Oct/22,%
Laos,38.46,36.75,Nov/22,%
Suriname,49.1,41.9,Oct/22,%
Sri Lanka,61,66,Nov/22,%
Argentina,88,83,Oct/22,%
Syria,139,134,Aug/20,%
Lebanon,158,162,Oct/22,%
