Country,Last,Previous,Reference,Unit
Qatar,0.1,0.1,Jun/22,%
Cambodia,0.61,0.33,Dec/21,%
Thailand,1.23,1.37,Sep/22,%
Benin,1.6,1.6,Dec/21,%
Chad,1.9,1.7,Dec/21,%
Switzerland,1.9,1.9,Oct/22,%
Denmark,2.2,2.2,Oct/22,%
Myanmar,2.2,1.79,Dec/21,%
Moldova,2.5,2.4,Sep/22,%
Madagascar,2.6,2.5,Dec/21,%
Cuba,2.8,2.6,Dec/21,%
Kyrgyzstan,2.8,2.8,Sep/22,%
South Korea,2.8,2.8,Oct/22,%
Uganda,2.9,2.8,Dec/21,%
Nicaragua,3.1,3.8,Jun/22,%
Norway,3.2,3.3,Sep/22,%
New Zealand,3.3,3.3,Sep/22,%
Czech Republic,3.5,3.5,Oct/22,%
Hungary,3.6,3.7,Oct/22,%
United Kingdom,3.6,3.5,Sep/22,%
Kuwait,3.7,3.5,Dec/21,%
United States,3.7,3.7,Nov/22,%
Belarus,3.9,4.05,Dec/21,%
Macau,3.9,4,Oct/22,%
United Arab Emirates,3.9,6.7,Dec/21,%
Israel,4.1,3.8,Oct/22,%
Bulgaria,4.3,4.2,Oct/22,%
Ireland,4.4,4.5,Nov/22,%
Sri Lanka,4.6,4.3,Jun/22,%
Burkina Faso,4.8,4.9,Dec/21,%
Kazakhstan,4.9,4.9,Sep/22,%
Bhutan,5,2.7,Dec/20,%
Canada,5.1,5.2,Nov/22,%
Nepal,5.1,4.7,Dec/21,%
Zimbabwe,5.17,5.7,Dec/21,%
Dominican Republic,5.2,6.4,Jun/22,%
Slovenia,5.3,5.5,Sep/22,%
Ecuador,5.4,6.7,Jun/22,%
China,5.5,5.5,Oct/22,%
Estonia,5.6,5.8,Sep/22,%
Sierra Leone,5.6,4.6,Dec/21,%
Finland,5.8,6.7,Oct/22,%
Saudi Arabia,5.8,6,Jun/22,%
Slovakia,5.9,6.1,Oct/22,%
European Union,6.1,6,Oct/22,%
Austria,6.2,6,Nov/22,%
Venezuela,6.4,7.3,Dec/18,%
Euro Area,6.5,6.6,Oct/22,%
Puerto Rico,6.5,6,Oct/22,%
Central African Republic,6.6,6.4,Dec/21,%
Kenya,6.6,5.4,Mar/21,%
Guinea Bissau,6.8,6.7,Dec/21,%
Bolivia,6.9,5.6,Dec/21,%
Malawi,7,6.7,Dec/21,%
Sweden,7.1,6.5,Oct/22,%
Peru,7.2,7.7,Oct/22,%
Egypt,7.4,7.2,Sep/22,%
Italy,7.8,7.9,Oct/22,%
Uruguay,7.8,8.3,Oct/22,%
Cyprus,8,8.1,Oct/22,%
India,8,7.8,Nov/22,%
Brazil,8.3,8.7,Oct/22,%
Honduras,8.6,10.9,Dec/21,%
Equatorial Guinea,9.2,9.9,Dec/21,%
Tanzania,9.3,9.5,Dec/21,%
Uzbekistan,9.6,9.4,Dec/21,%
Suriname,10.1,9.8,Dec/21,%
Belize,10.2,13.7,Dec/21,%
Ukraine,10.6,9.2,Dec/21,%
Morocco,11.4,11.2,Sep/22,%
Mauritania,11.5,11.3,Dec/21,%
Costa Rica,12,11.7,Sep/22,%
Algeria,12.7,12.7,Sep/21,%
Zambia,13,12.2,Dec/21,%
Afghanistan,13.3,11.2,Dec/21,%
South Sudan,13.9,14,Dec/21,%
Cape Verde,14.5,14.5,Dec/21,%
Lebanon,14.5,13.3,Dec/21,%
Panama,14.5,18.5,Dec/21,%
Georgia,15.6,18.1,Sep/22,%
Sao Tome and Principe,15.9,15.7,Dec/21,%
Kosovo,17.7,20.5,Sep/21,%
Montenegro,19.08,19.16,Sep/22,%
Sudan,19.81,17.7,Dec/21,%
Senegal,22,25.8,Jun/22,%
Jordan,22.6,22.8,Jun/22,%
Botswana,24.5,23.3,Dec/21,%
Palestine,25,24,Sep/22,%
Djibouti,28.4,28.4,Dec/21,%
Bosnia and Herzegovina,31.53,30.17,Sep/22,%
Nigeria,33.3,27.1,Dec/20,%
